Time_UTC,Julian_Date,RA_deg,Dec_deg
2020-08-07,2459068.50080073,20.388728961315756,4.321061822860093
2020-08-08,2459069.50080073,20.761339169864364,4.451088398688312
2020-08-09,2459070.5008007297,21.12620589159036,4.57797457431616
2020-08-10,2459071.5008007297,21.483106958317492,4.701667916395825
2020-08-11,2459072.5008007293,21.831815583435457,4.822116079688198
2020-08-12,2459073.500800729,22.172100827311755,4.939267004642522
2020-08-13,2459074.500800729,22.50372810158414,5.053069121737722
2020-08-14,2459075.5008007283,22.826459852959587,5.163471624253354
2020-08-15,2459076.5008007283,23.140056579268872,5.27042487649784
2020-08-16,2459077.500800728,23.444278314006077,5.373881017060217
2020-08-17,2459078.500800728,23.73888664463287,5.473794785149377
2020-08-18,2459079.5008007274,24.02364717862635,5.570124531246679
2020-08-19,2459080.5008007274,24.29833214287629,5.6628332727244235
2020-08-20,2459081.500800727,24.56272256822014,5.751889552444158
2020-08-21,2459082.500800727,24.81660941723474,5.83726781779051
2020-08-22,2459083.5008007265,25.05979319872666,5.918948120112985
2020-08-23,2459084.5008007265,25.292082065751288,5.996915135004774
2020-08-24,2459085.500800726,25.513288896764223,6.071156725581711
2020-08-25,2459086.500800726,25.72322813008185,6.14166238976662
2020-08-26,2459087.5008007255,25.921713045356434,6.208421898091215
2020-08-27,2459088.5008007255,26.108553882684532,6.271424294065062
2020-08-28,2459089.500800725,26.283556874210724,6.330657289243027
2020-08-29,2459090.500800725,26.446524072973542,6.38610700078557
2020-08-30,2459091.500800725,26.59725381348065,6.437757956813526
2020-08-31,2459092.5008007246,26.73554167031727,6.48559330871567
2020-09-01,2459093.5008007246,26.861181829950077,6.529595211147448
2020-09-02,2459094.500800724,26.97396881812013,6.569745342768257
2020-09-03,2459095.500800724,27.073699522702903,6.606025540239916
2020-09-04,2459096.500800724,27.160175432460445,6.638418510216685
2020-09-05,2459097.5008007237,27.233204995832725,6.666908577697975
2020-09-06,2459098.5008007237,27.29260600641133,6.6914824308725604
2020-09-07,2459099.5008007237,27.338207947933682,6.712129834496292
2020-09-08,2459100.500800723,27.369854276610113,6.7288443037130445
2020-09-09,2459101.500800723,27.38740467286306,6.741623753933177
2020-09-10,2459102.500800723,27.390737349211935,6.750471166125317
2020-09-11,2459103.5008007227,27.37975154908313,6.755395327740399
2020-09-12,2459104.5008007227,27.35437040403138,6.756411723857883
2020-09-13,2459105.5008007227,27.314544316439324,6.753543653545173
2020-09-14,2459106.5008007223,27.26025496761406,6.746823618556729
2020-09-15,2459107.5008007223,27.191519871594505,6.736294955735076
2020-09-16,2459108.5008007223,27.108397075990474,6.7220135489083
2020-09-17,2459109.5008007223,27.01098921187283,6.704049285296088
2020-09-18,2459110.5008007223,26.899445824938315,6.682486804410652
2020-09-19,2459111.500800722,26.773963085314055,6.657425154831112
2020-09-20,2459112.500800722,26.634780715941908,6.62897628829924
2020-09-21,2459113.500800722,26.48217699982855,6.597262755250601
2020-09-22,2459114.500800722,26.31646339260901,6.562415251933705
2020-09-23,2459115.500800722,26.137980158622423,6.5245706258849605
2020-09-24,2459116.500800722,25.947093739344872,6.4838706457145125
2020-09-25,2459117.5008007213,25.744195786782246,6.4404615101207945
2020-09-26,2459118.5008007213,25.529703346432754,6.3944938789865295
2020-09-27,2459119.5008007213,25.30405960379996,6.346123178213491
2020-09-28,2459120.5008007213,25.067734755849372,6.29550999219488
2020-09-29,2459121.5008007213,24.821226764113916,6.242820440992867
2020-09-30,2459122.5008007213,24.565061894960902,6.188226502948589
2020-10-01,2459123.5008007213,24.299795030095627,6.131906276776347
2020-10-02,2459124.5008007213,24.026009748903675,6.074044185166062
2020-10-03,2459125.5008007213,23.744318169387615,6.01483111528362
2020-10-04,2459126.5008007213,23.455360512346534,5.954464481400839
2020-10-05,2459127.5008007213,23.15980434423704,5.893148189912618
2020-10-06,2459128.5008007213,22.858343468172226,5.83109249188758
2020-10-07,2459129.5008007213,22.551696469359793,5.768513723244626
2020-10-08,2459130.5008007213,22.240604972017625,5.705633954207023
2020-10-09,2459131.5008007213,21.92583171558063,5.642680592242808
